avg_trade_duration,median_trade_duration,total_trades,trades_win_rate,money_win_loss_ratio,profit_factor,buy_hold_profit,profit_threshold,stoploss_threshold,rsi_window,rsi_sma_window,price_sma_window,short_sma_window,long_sma_window,volume_short_sma_window,volume_long_sma_window
2 days 08:56:00,2 days 00:00:00,15,87%,8.3,0.03306,31.46%,0.1,-0.05,14,30,20,50,100,3,30
3 days 06:46:09.230769230,3 days 00:00:00,13,77%,4.8,0.03937,168.19%,0.1,-0.05,14,30,20,50,100,7,30
2 days 12:09:13.846153846,2 days 02:00:00,13,85%,7.7,0.03533,34.68%,0.1,-0.05,14,30,20,50,200,3,30
3 days 11:00:00,3 days 00:00:00,9,78%,3.4,0.03438,37.61%,0.1,-0.05,14,30,20,50,200,7,30
2 days 14:00:00,2 days 11:30:00,20,75%,4.5,0.02671,196.87%,0.1,-0.05,14,30,50,50,100,3,30
3 days 07:03:20,3 days 00:00:00,18,56%,2.8,0.02419,192.71%,0.1,-0.05,14,30,50,50,100,7,30
2 days 16:52:30,2 days 22:30:00,16,69%,3.3,0.022,28.76%,0.1,-0.05,14,30,50,50,200,3,30
3 days 10:36:55.384615384,3 days 00:00:00,13,46%,1.7,0.01253,28.02%,0.1,-0.05,14,30,50,50,200,7,30
2 days 13:28:14.117647058,2 days 02:00:00,17,71%,4.9,0.02711,38.06%,0.1,-0.05,14,100,20,50,100,3,30
3 days 21:10:54.545454545,3 days 15:00:00,11,64%,3.8,0.04042,36.89%,0.1,-0.05,14,100,20,50,100,7,30
2 days 15:48:45,2 days 12:00:00,16,69%,4.9,0.02873,39.45%,0.1,-0.05,14,100,20,50,200,3,30
4 days 03:06:40,3 days 21:00:00,9,67%,3.2,0.03753,41.87%,0.1,-0.05,14,100,20,50,200,7,30
2 days 17:54:17.142857142,3 days 00:00:00,21,62%,2.8,0.01973,199.30%,0.1,-0.05,14,100,50,50,100,3,30
3 days 22:48:00,3 days 15:00:00,15,47%,2.0,0.01916,202.02%,0.1,-0.05,14,100,50,50,100,7,30
2 days 20:20:00,3 days 00:00:00,18,56%,2.2,0.01487,28.18%,0.1,-0.05,14,100,50,50,200,3,30
4 days 05:25:00,3 days 20:00:00,12,42%,1.4,0.0092,27.17%,0.1,-0.05,14,100,50,50,200,7,30
2 days 13:04:17.142857142,2 days 01:00:00,14,86%,21.1,0.03546,29.89%,0.1,-0.1,14,30,20,50,100,3,30
4 days 02:38:10.909090909,3 days 00:00:00,11,82%,12.1,0.05155,160.97%,0.1,-0.1,14,30,20,50,100,7,30
2 days 17:15:00,2 days 12:00:00,12,83%,19.6,0.03832,33.11%,0.1,-0.1,14,30,20,50,200,3,30
4 days 19:25:42.857142857,3 days 00:00:00,7,86%,8.5,0.05208,36.14%,0.1,-0.1,14,30,20,50,200,7,30
2 days 21:00:00,2 days 11:30:00,18,78%,6.2,0.02996,191.73%,0.1,-0.1,14,30,50,50,100,3,30
3 days 17:03:45,3 days 00:00:00,16,62%,3.0,0.02802,187.19%,0.1,-0.1,14,30,50,50,100,7,30
3 days 02:17:08.571428571,2 days 22:30:00,14,71%,4.5,0.0255,27.24%,0.1,-0.1,14,30,50,50,200,3,30
4 days 01:49:05.454545454,3 days 00:00:00,11,55%,1.8,0.01598,27.33%,0.1,-0.1,14,30,50,50,200,7,30
2 days 17:22:30,2 days 12:00:00,16,69%,7.2,0.02883,36.59%,0.1,-0.1,14,100,20,50,100,3,30
5 days 00:40:00,3 days 15:00:00,9,67%,7.7,0.05553,33.91%,0.1,-0.1,14,100,20,50,100,7,30
2 days 20:08:00,2 days 22:00:00,15,67%,7.2,0.03068,37.98%,0.1,-0.1,14,100,20,50,200,3,30
5 days 16:08:34.285714285,5 days 14:00:00,7,71%,6.5,0.05614,39.46%,0.1,-0.1,14,100,20,50,200,7,30
3 days 00:56:50.526315789,3 days 00:00:00,19,63%,3.3,0.02207,194.68%,0.1,-0.1,14,100,50,50,100,3,30
4 days 13:36:55.384615384,3 days 10:00:00,13,54%,2.0,0.02228,196.66%,0.1,-0.1,14,100,50,50,100,7,30
3 days 05:00:00,3 days 00:00:00,16,56%,2.5,0.01704,26.78%,0.1,-0.1,14,100,50,50,200,3,30
5 days 02:00:00,3 days 18:00:00,10,50%,1.4,0.01127,26.25%,0.1,-0.1,14,100,50,50,200,7,30
3 days 06:13:50.769230769,2 days 00:00:00,13,92%,9.3,0.034,31.09%,10.0,-0.05,14,30,20,50,100,3,30
5 days 23:54:00,3 days 00:00:00,10,80%,8.9,0.04375,162.35%,10.0,-0.05,14,30,20,50,100,7,30
3 days 13:54:32.727272727,2 days 22:00:00,11,91%,8.6,0.03685,34.83%,10.0,-0.05,14,30,20,50,200,3,30
6 days 19:50:00,3 days 00:00:00,6,83%,4.9,0.03433,39.73%,10.0,-0.05,14,30,20,50,200,7,30
3 days 12:18:45,3 days 00:00:00,16,81%,7.6,0.03323,194.63%,10.0,-0.05,14,30,50,50,100,3,30
5 days 03:36:55.384615384,3 days 00:00:00,13,62%,6.0,0.03335,184.21%,10.0,-0.05,14,30,50,50,100,7,30
3 days 14:50:00,3 days 00:00:00,12,75%,5.1,0.02745,30.25%,10.0,-0.05,14,30,50,50,200,3,30
5 days 14:52:30,3 days 00:00:00,8,50%,2.6,0.01649,31.05%,10.0,-0.05,14,30,50,50,200,7,30
3 days 18:48:00,2 days 22:00:00,15,73%,6.4,0.03695,56.12%,10.0,-0.05,14,100,20,50,100,3,30
8 days 16:15:00,8 days 12:00:00,8,62%,7.9,0.06758,56.56%,10.0,-0.05,14,100,20,50,100,7,30
3 days 23:34:17.142857142,3 days 08:00:00,14,71%,6.4,0.03951,57.90%,10.0,-0.05,14,100,20,50,200,3,30
9 days 09:40:00,10 days 00:00:00,6,67%,6.4,0.06745,64.67%,10.0,-0.05,14,100,20,50,200,7,30
3 days 15:49:24.705882352,3 days 18:00:00,17,65%,3.6,0.02423,197.75%,10.0,-0.05,14,100,50,50,100,3,30
6 days 16:36:00,4 days 11:30:00,10,50%,3.1,0.02855,195.62%,10.0,-0.05,14,100,50,50,100,7,30
3 days 16:08:34.285714285,3 days 09:00:00,14,57%,2.5,0.0175,29.29%,10.0,-0.05,14,100,50,50,200,3,30
7 days 06:34:17.142857142,5 days 23:00:00,7,43%,1.6,0.01136,30.03%,10.0,-0.05,14,100,50,50,200,7,30
3 days 12:50:00,2 days 11:00:00,12,92%,46.4,0.03687,29.23%,10.0,-0.1,14,30,20,50,100,3,30
6 days 16:00:00,3 days 00:00:00,9,78%,57.1,0.04934,154.80%,10.0,-0.1,14,30,20,50,100,7,30
3 days 22:36:00,2 days 23:00:00,10,90%,42.7,0.04058,32.96%,10.0,-0.1,14,30,20,50,200,3,30
8 days 04:48:00,3 days 00:00:00,5,80%,42.5,0.0425,37.06%,10.0,-0.1,14,30,20,50,200,7,30
3 days 18:00:00,3 days 00:00:00,15,80%,15.4,0.03548,190.32%,10.0,-0.1,14,30,50,50,100,3,30
5 days 14:00:00,3 days 00:00:00,12,58%,12.4,0.03667,177.23%,10.0,-0.1,14,30,50,50,100,7,30
3 days 22:49:05.454545454,3 days 00:00:00,11,73%,9.9,0.02999,28.83%,10.0,-0.1,14,30,50,50,200,3,30
6 days 10:17:08.571428571,3 days 00:00:00,7,43%,4.9,0.01978,29.20%,10.0,-0.1,14,30,50,50,200,7,30
4 days 01:21:25.714285714,3 days 11:00:00,14,71%,10.4,0.03963,54.19%,10.0,-0.1,14,100,20,50,100,3,30
9 days 22:08:34.285714285,10 days 00:00:00,7,57%,18.7,0.07816,52.32%,10.0,-0.1,14,100,20,50,100,7,30
4 days 07:00:00,4 days 00:00:00,13,69%,10.4,0.04259,55.95%,10.0,-0.1,14,100,20,50,200,3,30
11 days 07:00:00,14 days 00:00:00,5,60%,15.6,0.08224,60.36%,10.0,-0.1,14,100,20,50,200,7,30
3 days 21:22:30,3 days 21:30:00,16,62%,4.6,0.02577,193.91%,10.0,-0.1,14,100,50,50,100,3,30
7 days 10:40:00,6 days 00:00:00,9,44%,3.9,0.03126,187.59%,10.0,-0.1,14,100,50,50,100,7,30
3 days 23:00:00,4 days 00:00:00,13,54%,3.1,0.01889,28.01%,10.0,-0.1,14,100,50,50,200,3,30
8 days 12:00:00,6 days 12:00:00,6,33%,1.8,0.01257,27.72%,10.0,-0.1,14,100,50,50,200,7,30
